iter	Passed	Remaining
813	3158	721
814	3162	717
815	3165	713
816	3169	710
817	3173	706
818	3176	702
819	3180	698
820	3184	694
821	3188	690
822	3192	686
823	3196	682
824	3199	678
825	3203	674
826	3206	670
827	3210	666
828	3214	662
829	3218	659
830	3221	655
831	3225	651
832	3229	647
833	3233	643
834	3236	639
835	3240	635
836	3243	631
837	3247	627
838	3251	623
839	3254	619
840	3258	615
841	3261	612
842	3265	608
843	3269	604
844	3273	600
845	3277	596
846	3281	592
847	3284	588
848	3288	584
849	3292	581
850	3295	577
851	3299	573
852	3303	569
853	3307	565
854	3311	561
855	3315	557
856	3318	553
857	3323	550
858	3327	546
859	3331	542
860	3335	538
861	3338	534
862	3342	530
863	3345	526
864	3349	522
865	3353	518
866	3357	514
867	3360	511
868	3364	507
869	3368	503
870	3372	499
871	3375	495
872	3380	491
873	3383	487
874	3388	484
875	3392	480
876	3396	476
877	3400	472
878	3404	468
879	3408	464
880	3412	460
881	3415	456
882	3419	453
883	3423	449
884	3426	445
885	3430	441
886	3433	437
887	3437	433
888	3441	429
889	3445	425
890	3449	421
891	3453	418
892	3456	414
893	3461	410
894	3464	406
895	3468	402
896	3471	398
897	3476	394
898	3479	390
899	3483	387
900	3487	383
901	3491	379
902	3494	375
903	3498	371
904	3501	367
905	3505	363
906	3508	359
907	3512	355
908	3516	352
909	3520	348
910	3524	344
911	3527	340
912	3531	336
913	3535	332
914	3538	328
915	3542	324
916	3546	320
917	3550	317
918	3554	313
919	3557	309
920	3560	305
921	3564	301
922	3568	297
923	3572	293
924	3575	289
925	3579	286
926	3583	282
927	3586	278
928	3590	274
929	3594	270
930	3597	266
931	3601	262
932	3605	258
933	3609	255
934	3612	251
935	3616	247
936	3619	243
937	3623	239
938	3627	235
939	3631	231
940	3635	227
941	3638	224
942	3642	220
943	3646	216
944	3649	212
945	3653	208
946	3657	204
947	3660	200
948	3664	196
949	3667	193
950	3671	189
951	3675	185
952	3678	181
953	3682	177
954	3685	173
955	3690	169
956	3694	165
957	3698	162
958	3702	158
959	3706	154
960	3710	150
961	3714	146
962	3718	142
963	3722	139
964	3725	135
965	3729	131
966	3733	127
967	3736	123
968	3740	119
969	3744	115
970	3747	111
971	3751	108
972	3755	104
973	3758	100
974	3762	96
975	3765	92
976	3769	88
977	3773	84
978	3777	81
979	3780	77
980	3784	73
981	3788	69
982	3792	65
983	3796	61
984	3799	57
985	3803	54
986	3807	50
987	3810	46
988	3814	42
989	3818	38
990	3822	34
991	3825	30
992	3829	26
993	3832	23
994	3836	19
995	3840	15
996	3844	11
997	3847	7
998	3851	3
999	3855	0
